,algorithm,error_type_I,error_type_II,missing_data_percentage,true_negatives,true_positives
0,K-Means,16.36,6.12,5,180.64,30.88
1,Fuzzy_C_Means,11.56,8.4,5,185.44,28.6
2,DBSCAN_Center,2.68,17.8,5,194.32,19.2
3,Affinity_Propagation,18.44,5.6,5,178.56,31.4
4,GMM,7.0,36.0,5,190.0,1.0
5,G_Means,11.6,7.72,5,185.4,29.28
6,K-Means,15.92,6.12,7,181.08,30.88
7,Fuzzy_C_Means,10.68,8.8,7,186.32,28.2
8,DBSCAN_Center,2.44,21.84,7,194.56,15.16
9,Affinity_Propagation,17.8,5.76,7,179.2,31.24
10,GMM,7.0,35.92,7,190.0,1.08
11,G_Means,11.52,7.56,7,185.48,29.44
12,K-Means,17.68,5.92,10,179.32,31.08
13,Fuzzy_C_Means,9.84,11.48,10,187.16,25.52
14,DBSCAN_Center,2.48,22.64,10,194.52,14.36
15,Affinity_Propagation,17.8,6.04,10,179.2,30.96
16,GMM,7.12,35.8,10,189.88,1.2
17,G_Means,11.72,7.72,10,185.28,29.28
18,K-Means,16.4,6.36,15,180.6,30.64
19,Fuzzy_C_Means,11.48,9.36,15,185.52,27.64
20,DBSCAN_Center,5.56,21.84,15,191.44,15.16
21,Affinity_Propagation,16.56,7.08,15,180.44,29.92
22,GMM,7.36,35.92,15,189.64,1.08
23,G_Means,12.2,8.04,15,184.8,28.96
