,algorithm,error_type_I,error_type_II,imputation_method,missing_data_percentage,true_negatives,true_positives
0,K-Means,16.36,6.12,Mean_Imputation,5,180.64,30.88
1,Fuzzy_C_Means,11.56,8.4,Mean_Imputation,5,185.44,28.6
2,DBSCAN_Center,2.68,17.8,Mean_Imputation,5,194.32,19.2
3,Affinity_Propagation,18.44,5.6,Mean_Imputation,5,178.56,31.4
4,GMM,7.0,36.0,Mean_Imputation,5,190.0,1.0
5,G_Means,11.6,7.72,Mean_Imputation,5,185.4,29.28
6,K-Means,13.56,8.52,Interpolation_Imputation,5,183.44,28.48
7,Fuzzy_C_Means,9.16,22.96,Interpolation_Imputation,5,187.84,14.04
8,DBSCAN_Center,2.8,14.16,Interpolation_Imputation,5,194.2,22.84
9,Affinity_Propagation,13.92,17.76,Interpolation_Imputation,5,183.08,19.24
10,GMM,5.48,35.56,Interpolation_Imputation,5,191.52,1.44
11,G_Means,9.64,10.04,Interpolation_Imputation,5,187.36,26.96
12,K-Means,16.96,5.8,KNN_Imputation_N_3,5,180.04,31.2
13,Fuzzy_C_Means,10.56,9.44,KNN_Imputation_N_3,5,186.44,27.56
14,DBSCAN_Center,1.96,16.24,KNN_Imputation_N_3,5,195.04,20.76
15,Affinity_Propagation,16.6,6.0,KNN_Imputation_N_3,5,180.4,31.0
16,GMM,7.04,35.96,KNN_Imputation_N_3,5,189.96,1.04
17,G_Means,11.52,7.4,KNN_Imputation_N_3,5,185.48,29.6
18,K-Means,17.12,5.6,KNN_Imputation_N_7,5,179.88,31.4
19,Fuzzy_C_Means,11.04,9.28,KNN_Imputation_N_7,5,185.96,27.72
20,DBSCAN_Center,2.36,18.4,KNN_Imputation_N_7,5,194.64,18.6
21,Affinity_Propagation,18.12,5.6,KNN_Imputation_N_7,5,178.88,31.4
22,GMM,7.04,36.0,KNN_Imputation_N_7,5,189.96,1.0
23,G_Means,12.08,7.4,KNN_Imputation_N_7,5,184.92,29.6
24,K-Means,15.92,6.12,Mean_Imputation,7,181.08,30.88
25,Fuzzy_C_Means,10.68,8.8,Mean_Imputation,7,186.32,28.2
26,DBSCAN_Center,2.44,21.84,Mean_Imputation,7,194.56,15.16
27,Affinity_Propagation,17.8,5.76,Mean_Imputation,7,179.2,31.24
28,GMM,7.0,35.92,Mean_Imputation,7,190.0,1.08
29,G_Means,11.52,7.56,Mean_Imputation,7,185.48,29.44
30,K-Means,14.76,8.52,Interpolation_Imputation,7,182.24,28.48
31,Fuzzy_C_Means,8.0,16.36,Interpolation_Imputation,7,189.0,20.64
32,DBSCAN_Center,3.4,14.28,Interpolation_Imputation,7,193.6,22.72
33,Affinity_Propagation,12.24,16.0,Interpolation_Imputation,7,184.76,21.0
34,GMM,0.76,36.76,Interpolation_Imputation,7,196.24,0.24
35,G_Means,10.92,9.68,Interpolation_Imputation,7,186.08,27.32
36,K-Means,17.04,5.48,KNN_Imputation_N_3,7,179.96,31.52
