,algorithm,error_type_I,error_type_II,imputation_method,missing_data_percentage,true_negatives,true_positives
0,K-Means,16.8,5.9,Mean_Imputation,5,180.2,31.1
1,Fuzzy_C_Means,11.7,8.5,Mean_Imputation,5,185.3,28.5
2,DBSCAN_Center,2.9,16.7,Mean_Imputation,5,194.1,20.3
3,Affinity_Propagation,18.5,5.6,Mean_Imputation,5,178.5,31.4
4,GMM,7.0,36.0,Mean_Imputation,5,190.0,1.0
5,G_Means,11.1,8.1,Mean_Imputation,5,185.9,28.9
6,K-Means,18.1,5.5,Interpolation_Imputation,5,178.9,31.5
7,Fuzzy_C_Means,9.6,7.9,Interpolation_Imputation,5,187.4,29.1
8,DBSCAN_Center,2.1,15.2,Interpolation_Imputation,5,194.9,21.8
9,Affinity_Propagation,17.7,5.8,Interpolation_Imputation,5,179.3,31.2
10,GMM,7.0,36.0,Interpolation_Imputation,5,190.0,1.0
11,G_Means,9.5,8.3,Interpolation_Imputation,5,187.5,28.7
12,K-Means,17.0,5.9,KNN_Imputation_N_3,5,180.0,31.1
13,Fuzzy_C_Means,10.6,9.3,KNN_Imputation_N_3,5,186.4,27.7
14,DBSCAN_Center,2.1,17.0,KNN_Imputation_N_3,5,194.9,20.0
15,Affinity_Propagation,17.7,5.8,KNN_Imputation_N_3,5,179.3,31.2
16,GMM,7.0,36.0,KNN_Imputation_N_3,5,190.0,1.0
17,G_Means,11.3,7.5,KNN_Imputation_N_3,5,185.7,29.5
18,K-Means,15.5,6.5,Mean_Imputation,7,181.5,30.5
19,Fuzzy_C_Means,11.0,9.0,Mean_Imputation,7,186.0,28.0
20,DBSCAN_Center,1.6,25.1,Mean_Imputation,7,195.4,11.9
21,Affinity_Propagation,18.2,5.9,Mean_Imputation,7,178.8,31.1
22,GMM,7.0,35.9,Mean_Imputation,7,190.0,1.1
23,G_Means,11.3,7.7,Mean_Imputation,7,185.7,29.3
24,K-Means,17.6,5.6,Interpolation_Imputation,7,179.4,31.4
25,Fuzzy_C_Means,10.5,7.7,Interpolation_Imputation,7,186.5,29.3
26,DBSCAN_Center,2.4,15.0,Interpolation_Imputation,7,194.6,22.0
27,Affinity_Propagation,17.1,6.0,Interpolation_Imputation,7,179.9,31.0
28,GMM,7.0,36.0,Interpolation_Imputation,7,190.0,1.0
29,G_Means,9.2,8.6,Interpolation_Imputation,7,187.8,28.4
30,K-Means,17.6,5.4,KNN_Imputation_N_3,7,179.4,31.6
31,Fuzzy_C_Means,11.2,8.9,KNN_Imputation_N_3,7,185.8,28.1
32,DBSCAN_Center,2.5,18.9,KNN_Imputation_N_3,7,194.5,18.1
33,Affinity_Propagation,16.4,6.0,KNN_Imputation_N_3,7,180.6,31.0
34,GMM,7.1,35.9,KNN_Imputation_N_3,7,189.9,1.1
35,G_Means,11.2,7.7,KNN_Imputation_N_3,7,185.8,29.3
36,K-Means,17.2,6.2,Mean_Imputation,10,179.8,30.8
37,Fuzzy_C_Means,10.7,9.4,Mean_Imputation,10,186.3,27.6
38,DBSCAN_Center,1.1,25.0,Mean_Imputation,10,195.9,12.0
39,Affinity_Propagation,16.7,6.5,Mean_Imputation,10,180.3,30.5
40,GMM,7.2,35.8,Mean_Imputation,10,189.8,1.2
41,G_Means,12.1,7.8,Mean_Imputation,10,184.9,29.2
42,K-Means,17.6,5.9,Interpolation_Imputation,10,179.4,31.1
43,Fuzzy_C_Means,9.2,9.4,Interpolation_Imputation,10,187.8,27.6
44,DBSCAN_Center,2.3,15.1,Interpolation_Imputation,10,194.7,21.9
45,Affinity_Propagation,17.4,6.0,Interpolation_Imputation,10,179.6,31.0
46,GMM,7.0,36.0,Interpolation_Imputation,10,190.0,1.0
47,G_Means,9.7,8.0,Interpolation_Imputation,10,187.3,29.0
48,K-Means,17.2,5.6,KNN_Imputation_N_3,10,179.8,31.4
49,Fuzzy_C_Means,9.8,10.7,KNN_Imputation_N_3,10,187.2,26.3
50,DBSCAN_Center,2.2,16.9,KNN_Imputation_N_3,10,194.8,20.1
51,Affinity_Propagation,15.9,6.7,KNN_Imputation_N_3,10,181.1,30.3
52,GMM,7.2,36.0,KNN_Imputation_N_3,10,189.8,1.0
53,G_Means,12.4,7.1,KNN_Imputation_N_3,10,184.6,29.9
54,K-Means,16.9,6.2,Mean_Imputation,15,180.1,30.8
55,Fuzzy_C_Means,11.5,9.5,Mean_Imputation,15,185.5,27.5
56,DBSCAN_Center,4.1,27.5,Mean_Imputation,15,192.9,9.5
57,Affinity_Propagation,17.0,8.1,Mean_Imputation,15,180.0,28.9
58,GMM,7.4,36.0,Mean_Imputation,15,189.6,1.0
59,G_Means,12.1,8.5,Mean_Imputation,15,184.9,28.5
60,K-Means,18.0,5.5,Interpolation_Imputation,15,179.0,31.5
61,Fuzzy_C_Means,10.7,7.9,Interpolation_Imputation,15,186.3,29.1
62,DBSCAN_Center,2.3,14.4,Interpolation_Imputation,15,194.7,22.6
63,Affinity_Propagation,18.1,5.4,Interpolation_Imputation,15,178.9,31.6
64,GMM,7.0,36.0,Interpolation_Imputation,15,190.0,1.0
65,G_Means,9.5,8.5,Interpolation_Imputation,15,187.5,28.5
66,K-Means,16.8,5.6,KNN_Imputation_N_3,15,180.2,31.4
67,Fuzzy_C_Means,11.0,8.2,KNN_Imputation_N_3,15,186.0,28.8
68,DBSCAN_Center,5.1,24.2,KNN_Imputation_N_3,15,191.9,12.8
69,Affinity_Propagation,17.6,5.5,KNN_Imputation_N_3,15,179.4,31.5
70,GMM,7.1,35.9,KNN_Imputation_N_3,15,189.9,1.1
71,G_Means,11.6,7.6,KNN_Imputation_N_3,15,185.4,29.4
72,K-Means,18.9,5.7,Mean_Imputation,20,178.1,31.3
73,Fuzzy_C_Means,16.5,6.3,Mean_Imputation,20,180.5,30.7
