imputation_method,mean_squared_error,missing_data_percentage,root_mean_squared_error
Mean_Imputation,0.016253108508892732,5,0.12748767983178896
Mean_Imputation,0.016246863359746275,7,0.1274631843307952
Mean_Imputation,0.016239886132349488,10,0.12743581181265135
Mean_Imputation,0.016234875221982064,15,0.12741614976910134
Mean_Imputation,0.016239128540523565,20,0.12743283933320942
Mean_Imputation,0.016237917612768528,25,0.12742808800562194
Mean_Imputation,0.01623997925098464,35,0.12743617716717903
Mean_Imputation,0.01623774320038589,50,0.1274274036476687
KNN_Imputation_N_3,0.017721052088596097,5,0.13312044203876464
KNN_Imputation_N_3,0.01773964090896433,5,0.1331902432949363
KNN_Imputation_N_3,0.017752905925007455,7,0.13324003124064274
KNN_Imputation_N_3,0.01784114699227746,10,0.13357075650110492
KNN_Imputation_N_3,0.017799255382918638,15,0.1334138500415854
KNN_Imputation_N_3,0.01782128597580948,20,0.1334963893736811
KNN_Imputation_N_3,0.01784922026720007,25,0.1336009740503417
KNN_Imputation_N_3,0.017955667341970297,35,0.1339987587329461
KNN_Imputation_N_3,0.018158967216023243,50,0.13475521220354797
KNN_Imputation_N_7,0.017718326843707746,5,0.13311020563318104
KNN_Imputation_N_7,0.017777575298939145,7,0.13333257403552645
KNN_Imputation_N_7,0.017751109566644423,10,0.13323329000908302
KNN_Imputation_N_7,0.017717974178842116,15,0.13310888091649675
KNN_Imputation_N_7,0.01779735989333487,20,0.13340674605631783
KNN_Imputation_N_7,0.0178929867735987,25,0.13376466937722642
KNN_Imputation_N_7,0.01792941351829428,35,0.13390075996160097
KNN_Imputation_N_7,0.01821410703848809,50,0.13495964966792146
Interpolation_Imputation,0.0007554131426270696,5,0.02748478019972271
Interpolation_Imputation,0.0008147622945949507,7,0.02854404131504421
Interpolation_Imputation,0.0009010787254252147,10,0.030017973373051263
Interpolation_Imputation,0.0010758757992469653,15,0.03280054571568841
Interpolation_Imputation,0.0012693658497060533,20,0.03562816090827666
Interpolation_Imputation,0.0014905435671283764,25,0.038607558419671874
Interpolation_Imputation,0.0020736872017353522,35,0.04553775578281556
Interpolation_Imputation,0.0033410925938372666,50,0.057802185026495895
Interpolation_Imputation,0.004678003226733279,60,0.06839592989888564
Interpolation_Imputation,0.006830000809199578,70,0.08264381894128307
Interpolation_Imputation,0.011018569812217488,80,0.10496937559220541
Interpolation_Imputation,0.019153624424474443,90,0.13839661998934238
Mean_Imputation,0.01623430263525285,60,0.12741390283345397
Mean_Imputation,0.016237133213455504,70,0.12742501015678007
Mean_Imputation,0.01623939349334774,80,0.12743387890725033
Mean_Imputation,0.01624455522365394,90,0.1274541298807298
KNN_Imputation_N_3,0.018305229771513967,60,0.1352968209955946
KNN_Imputation_N_3,0.018604357319727767,70,0.1363977907435739
KNN_Imputation_N_3,0.019085042119741946,80,0.138148623300205
KNN_Imputation_N_3,0.020308777100608407,90,0.14250886674382196
KNN_Imputation_N_7,0.018331506514739988,60,0.13539389393447546
KNN_Imputation_N_7,0.018596730923907727,70,0.13636983142875747
KNN_Imputation_N_7,0.019125405703382958,80,0.1382946336752911
KNN_Imputation_N_7,0.020286500732636156,90,0.14243068746810203
