,algorithm,error_type_I,error_type_II,missing_data_percentage,true_negatives,true_positives
0,K-Means,19.0,4.0,0,178.0,33.0
1,Fuzzy_C_Means,16.0,6.0,0,181.0,31.0
2,DBSCAN_Center,3.0,15.0,0,194.0,22.0
3,Affinity_Propagation,17.0,6.0,0,180.0,31.0
4,GMM,7.0,36.0,0,190.0,1.0
5,G_Means,9.36,7.96,0,187.64,29.04
6,K-Means,13.96,16.08,5,183.04,20.92
7,Fuzzy_C_Means,14.76,14.84,5,182.24,22.16
8,DBSCAN_Center,7.84,26.36,5,189.16,10.64
9,Affinity_Propagation,18.08,12.12,5,178.92,24.88
10,GMM,7.56,32.92,5,189.44,4.08
11,G_Means,15.76,12.12,5,181.24,24.88
12,K-Means,17.48,15.12,7,179.52,21.88
13,Fuzzy_C_Means,15.56,17.04,7,181.44,19.96
14,DBSCAN_Center,10.68,27.36,7,186.32,9.64
15,Affinity_Propagation,18.64,12.36,7,178.36,24.64
16,GMM,10.36,25.08,7,186.64,11.92
17,G_Means,13.0,19.92,7,184.0,17.08
18,K-Means,20.12,14.36,10,176.88,22.64
19,Fuzzy_C_Means,14.64,22.8,10,182.36,14.2
20,DBSCAN_Center,15.56,24.04,10,181.44,12.96
21,Affinity_Propagation,21.8,12.76,10,175.2,24.24
22,GMM,14.28,23.28,10,182.72,13.72
23,G_Means,14.4,22.4,10,182.6,14.6
24,K-Means,11.0,35.16,15,186.0,1.84
25,Fuzzy_C_Means,10.04,36.36,15,186.96,0.64
26,DBSCAN_Center,14.76,34.88,15,182.24,2.12
27,Affinity_Propagation,11.88,34.64,15,185.12,2.36
28,GMM,10.2,35.84,15,186.8,1.16
29,G_Means,9.32,36.0,15,187.68,1.0
