,algorithm,error_type_I,error_type_II,missing_data_percentage,true_negatives,true_positives
0,K-Means,19.0,4.0,0,178.0,33.0
1,Fuzzy_C_Means,16.0,6.0,0,181.0,31.0
2,DBSCAN_Center,3.0,15.0,0,194.0,22.0
3,Affinity_Propagation,17.0,6.0,0,180.0,31.0
4,GMM,7.0,36.0,0,190.0,1.0
5,G_Means,9.36,7.96,0,187.64,29.04
6,K-Means,13.96,16.08,5,183.04,20.92
7,Fuzzy_C_Means,14.76,14.84,5,182.24,22.16
8,DBSCAN_Center,7.84,26.36,5,189.16,10.64
9,Affinity_Propagation,18.08,12.12,5,178.92,24.88
10,GMM,7.56,32.92,5,189.44,4.08
11,G_Means,15.76,12.12,5,181.24,24.88
12,K-Means,20.12,14.36,10,176.88,22.64
13,Fuzzy_C_Means,14.64,22.8,10,182.36,14.2
14,DBSCAN_Center,15.56,24.04,10,181.44,12.96
15,Affinity_Propagation,21.8,12.76,10,175.2,24.24
16,GMM,14.28,23.28,10,182.72,13.72
17,G_Means,14.4,22.4,10,182.6,14.6
18,K-Means,11.0,35.16,15,186.0,1.84
19,Fuzzy_C_Means,10.04,36.36,15,186.96,0.64
20,DBSCAN_Center,14.76,34.88,15,182.24,2.12
21,Affinity_Propagation,11.88,34.64,15,185.12,2.36
22,GMM,10.2,35.84,15,186.8,1.16
23,G_Means,9.32,36.0,15,187.68,1.0
24,K-Means,10.76,33.28,20,186.24,3.72
25,Fuzzy_C_Means,10.2,34.4,20,186.8,2.6
26,DBSCAN_Center,21.8,32.88,20,175.2,4.12
27,Affinity_Propagation,11.48,33.56,20,185.52,3.44
28,GMM,11.88,35.64,20,185.12,1.36
29,G_Means,8.52,35.0,20,188.48,2.0
30,K-Means,11.0,29.6,25,186.0,7.4
31,Fuzzy_C_Means,8.72,34.36,25,188.28,2.64
32,DBSCAN_Center,16.12,30.12,25,180.88,6.88
33,Affinity_Propagation,10.68,30.04,25,186.32,6.96
34,GMM,9.68,35.44,25,187.32,1.56
35,G_Means,8.08,32.76,25,188.92,4.24
36,K-Means,8.56,34.04,30,188.44,2.96
37,Fuzzy_C_Means,8.56,34.36,30,188.44,2.64
38,DBSCAN_Center,26.76,24.2,30,170.24,12.8
39,Affinity_Propagation,10.52,29.12,30,186.48,7.88
40,GMM,8.52,35.32,30,188.48,1.68
41,G_Means,7.48,30.64,30,189.52,6.36
42,K-Means,9.68,33.72,40,187.32,3.28
43,Fuzzy_C_Means,9.16,34.36,40,187.84,2.64
44,DBSCAN_Center,28.12,28.56,40,168.88,8.44
45,Affinity_Propagation,11.52,31.28,40,185.48,5.72
46,GMM,9.32,34.56,40,187.68,2.44
47,G_Means,7.88,34.6,40,189.12,2.4
48,K-Means,9.04,32.96,50,187.96,4.04
49,Fuzzy_C_Means,8.8,32.04,50,188.2,4.96
50,DBSCAN_Center,148.04,2.96,50,48.96,34.04
51,Affinity_Propagation,10.4,31.68,50,186.6,5.32
52,GMM,9.08,31.36,50,187.92,5.64
53,G_Means,7.44,33.56,50,189.56,3.44
54,K-Means,8.88,34.08,60,188.12,2.92
55,Fuzzy_C_Means,9.04,34.32,60,187.96,2.68
56,DBSCAN_Center,143.16,4.32,60,53.84,32.68
57,Affinity_Propagation,9.68,33.0,60,187.32,4.0
58,GMM,8.96,34.4,60,188.04,2.6
59,G_Means,7.48,34.32,60,189.52,2.68
60,K-Means,10.88,32.44,70,186.12,4.56
61,Fuzzy_C_Means,9.08,33.64,70,187.92,3.36
62,DBSCAN_Center,139.36,5.08,70,57.64,31.92
63,Affinity_Propagation,10.68,32.6,70,186.32,4.4
64,GMM,8.64,34.64,70,188.36,2.36
65,G_Means,7.12,34.4,70,189.88,2.6
66,K-Means,8.88,35.08,75,188.12,1.92
67,Fuzzy_C_Means,8.72,35.24,75,188.28,1.76
68,DBSCAN_Center,190.05263157894737,0.15789473684210525,75,6.947368421052632,36.8421052631579
69,Affinity_Propagation,9.56,34.04,75,187.44,2.96
70,GMM,9.0,34.68,75,188.0,2.32
71,G_Means,7.32,35.2,75,189.68,1.8
72,K-Means,9.12,34.52,80,187.88,2.48
73,Fuzzy_C_Means,8.96,34.4,80,188.04,2.6
74,DBSCAN_Center,191.6153846153846,0.0,80,5.384615384615385,37.0
75,Affinity_Propagation,10.28,32.72,80,186.72,4.28
76,GMM,8.68,34.68,80,188.32,2.32
77,G_Means,7.84,34.6,80,189.16,2.4
78,K-Means,17.48,15.12,7,179.52,21.88
79,Fuzzy_C_Means,15.56,17.04,7,181.44,19.96
80,DBSCAN_Center,10.68,27.36,7,186.32,9.64
81,Affinity_Propagation,18.64,12.36,7,178.36,24.64
82,GMM,10.36,25.08,7,186.64,11.92
83,G_Means,13.0,19.92,7,184.0,17.08
